Level	Rule Name	Subject	Property	Value
WARN	missing_definition	OHPI:0000053	IAO:0000600		
WARN	missing_definition	OHPI:0000054	IAO:0000115		
WARN	missing_definition	OHPI:0000054	IAO:0000600		
WARN	missing_definition	OHPI:0000055	IAO:0000115		
WARN	missing_definition	OHPI:0000055	IAO:0000600		
WARN	missing_definition	OHPI:0000056	IAO:0000115		
WARN	missing_definition	OHPI:0000056	IAO:0000600		
WARN	missing_definition	OHPI:0000057	IAO:0000115		
WARN	missing_definition	OHPI:0000057	IAO:0000600		
WARN	missing_definition	OHPI:0000058	IAO:0000115		
WARN	missing_definition	OHPI:0000058	IAO:0000600		
WARN	missing_definition	OHPI:0000059	IAO:0000115		
WARN	missing_definition	OHPI:0000059	IAO:0000600		
WARN	missing_definition	OHPI:0000060	IAO:0000115		
WARN	missing_definition	OHPI:0000060	IAO:0000600		
WARN	missing_definition	OHPI:0000061	IAO:0000115		
WARN	missing_definition	OHPI:0000061	IAO:0000600		
WARN	missing_definition	OHPI:0000062	IAO:0000115		
WARN	missing_definition	OHPI:0000062	IAO:0000600		
WARN	missing_definition	OHPI:0000063	IAO:0000115		
WARN	missing_definition	OHPI:0000063	IAO:0000600		
WARN	missing_definition	OHPI:0000064	IAO:0000115		
WARN	missing_definition	OHPI:0000064	IAO:0000600		
WARN	missing_definition	OHPI:0000065	IAO:0000115		
WARN	missing_definition	OHPI:0000065	IAO:0000600		
WARN	missing_definition	OHPI:0000066	IAO:0000115		
WARN	missing_definition	OHPI:0000066	IAO:0000600		
WARN	missing_definition	OHPI:0000067	IAO:0000115		
WARN	missing_definition	OHPI:0000067	IAO:0000600		
WARN	missing_definition	OHPI:0000068	IAO:0000115		
WARN	missing_definition	OHPI:0000068	IAO:0000600		
WARN	missing_definition	OHPI:0000069	IAO:0000115		
WARN	missing_definition	OHPI:0000069	IAO:0000600		
WARN	missing_definition	OHPI:0000070	IAO:0000115		
WARN	missing_definition	OHPI:0000070	IAO:0000600		
WARN	missing_definition	OHPI:0000071	IAO:0000115		
WARN	missing_definition	OHPI:0000071	IAO:0000600		
WARN	missing_definition	OHPI:0000072	IAO:0000115		
WARN	missing_definition	OHPI:0000072	IAO:0000600		
WARN	missing_definition	OHPI:0000073	IAO:0000115		
WARN	missing_definition	OHPI:0000073	IAO:0000600		
WARN	missing_definition	OHPI:0000074	IAO:0000115		
WARN	missing_definition	OHPI:0000074	IAO:0000600		
WARN	missing_definition	OHPI:0000075	IAO:0000115		
WARN	missing_definition	OHPI:0000075	IAO:0000600		
WARN	missing_definition	OHPI:0000076	IAO:0000115		
WARN	missing_definition	OHPI:0000076	IAO:0000600		
