?cls	?def	?xrefs
<http://purl.obolibrary.org/obo/NCBITaxon_8015>		
<http://purl.obolibrary.org/obo/CL_0002563>		
<http://purl.obolibrary.org/obo/NCBITaxon_10239>		
<http://purl.obolibrary.org/obo/OHPI_0000028>		
<http://purl.obolibrary.org/obo/NCBITaxon_10150>		
<http://purl.obolibrary.org/obo/NCBITaxon_7091>		
<http://purl.obolibrary.org/obo/OHPI_0000109>		
<http://purl.obolibrary.org/obo/OHPI_0000032>		
<http://purl.obolibrary.org/obo/OHPI_0000020>		
<http://purl.obolibrary.org/obo/OHPI_0000056>		
<http://purl.obolibrary.org/obo/OHPI_0000044>		
<http://purl.obolibrary.org/obo/OHPI_0000113>		
<http://purl.obolibrary.org/obo/OHPI_0000068>		
<http://purl.obolibrary.org/obo/OHPI_0000101>		
<http://purl.obolibrary.org/obo/OHPI_0000016>		
<http://purl.obolibrary.org/obo/OHPI_0000125>		
<http://purl.obolibrary.org/obo/CLO_0002172>		
<http://purl.obolibrary.org/obo/OHPI_0000081>		
<http://purl.obolibrary.org/obo/OHPI_0000041>		
<http://purl.obolibrary.org/obo/NCBITaxon_9606>		
<http://purl.obolibrary.org/obo/CLO_0007005>		
<http://purl.obolibrary.org/obo/CLO_0008080>		
<http://purl.obolibrary.org/obo/BFO_0000016>		
<http://purl.obolibrary.org/obo/CL_0000000>		
<http://purl.obolibrary.org/obo/OHPI_0000106>		
<http://purl.obolibrary.org/obo/NCBITaxon_3879>		
<http://purl.obolibrary.org/obo/OHPI_0000001>	"A process that involves an interaction between a host and a pathogen which can be a virus, bacterium, parasite, fungus, etc."	
<http://purl.obolibrary.org/obo/OHPI_0000118>		
<http://purl.obolibrary.org/obo/NCBITaxon_10796>		
<http://purl.obolibrary.org/obo/CL_2000008>		
<http://purl.obolibrary.org/obo/CLO_0001686>		
<http://purl.obolibrary.org/obo/OHPI_0000065>		
<http://purl.obolibrary.org/obo/OHPI_0000053>		
<http://purl.obolibrary.org/obo/OHPI_0000122>		
<http://purl.obolibrary.org/obo/OHPI_0000110>		
<http://purl.obolibrary.org/obo/NCBITaxon_11598>		
<http://purl.obolibrary.org/obo/OHPI_0000077>		
<http://purl.obolibrary.org/obo/NCBITaxon_7137>		
<http://purl.obolibrary.org/obo/OHPI_0000013>		
<http://purl.obolibrary.org/obo/OHPI_0000049>		
<http://purl.obolibrary.org/obo/IDO_0000531>		
<http://purl.obolibrary.org/obo/NCBITaxon_10090>		
<http://purl.obolibrary.org/obo/OHPI_0000037>		
<http://purl.obolibrary.org/obo/OHPI_0000070>		
<http://purl.obolibrary.org/obo/NCBITaxon_9669>		
<http://purl.obolibrary.org/obo/NCBITaxon_9823>		
<http://purl.obolibrary.org/obo/OHPI_0000082>		
<http://purl.obolibrary.org/obo/OHPI_0000030>		
<http://purl.obolibrary.org/obo/NCBITaxon_44689>		
<http://purl.obolibrary.org/obo/NCBITaxon_10047>		
<http://purl.obolibrary.org/obo/NCBITaxon_80614>		
<http://purl.obolibrary.org/obo/NCBITaxon_7955>		
<http://purl.obolibrary.org/obo/NCBITaxon_6239>		
<http://purl.obolibrary.org/obo/OHPI_0000119>		
<http://purl.obolibrary.org/obo/OHPI_0000107>		
<http://purl.obolibrary.org/obo/NCBITaxon_117565>		
<http://purl.obolibrary.org/obo/IDO_0000528>		
<http://purl.obolibrary.org/obo/NCBITaxon_163159>		
<http://purl.obolibrary.org/obo/OHPI_0000054>		
<http://purl.obolibrary.org/obo/OHPI_0000042>		
<http://purl.obolibrary.org/obo/OHPI_0000111>		
<http://purl.obolibrary.org/obo/OHPI_0000078>		
<http://purl.obolibrary.org/obo/OHPI_0000066>		
<http://purl.obolibrary.org/obo/OHPI_0000014>		
<http://purl.obolibrary.org/obo/OHPI_0000123>		
<http://purl.obolibrary.org/obo/OHPI_0000038>		
