?x	?p	?y
<http://purl.obolibrary.org/obo/OHPI_0000049>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OHPI_0000006>
<http://purl.obolibrary.org/obo/OHPI_0000017>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OHPI_0000006>
<http://purl.obolibrary.org/obo/OHPI_0000063>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OHPI_0000006>
<http://purl.obolibrary.org/obo/OHPI_0000031>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OHPI_0000006>
<http://purl.obolibrary.org/obo/OHPI_0000044>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OHPI_0000006>
<http://purl.obolibrary.org/obo/OHPI_0000057>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OHPI_0000006>
<http://purl.obolibrary.org/obo/OHPI_0000038>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OHPI_0000006>
<http://purl.obolibrary.org/obo/OHPI_0000052>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OHPI_0000006>
<http://purl.obolibrary.org/obo/OHPI_0000020>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OHPI_0000006>
<http://purl.obolibrary.org/obo/OHPI_0000019>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OHPI_0000006>
<http://purl.obolibrary.org/obo/OHPI_0000065>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OHPI_0000006>
<http://purl.obolibrary.org/obo/OHPI_0000046>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OHPI_0000006>
<http://purl.obolibrary.org/obo/OHPI_0000014>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OHPI_0000006>
<http://purl.obolibrary.org/obo/OHPI_0000060>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OHPI_0000006>
<http://purl.obolibrary.org/obo/OHPI_0000059>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OHPI_0000006>
<http://purl.obolibrary.org/obo/OHPI_0000027>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OHPI_0000006>
<http://purl.obolibrary.org/obo/OHPI_0000041>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OHPI_0000006>
<http://purl.obolibrary.org/obo/OHPI_0000054>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OHPI_0000006>
<http://purl.obolibrary.org/obo/OHPI_0000022>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OHPI_0000006>
<http://purl.obolibrary.org/obo/OHPI_0000048>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OHPI_0000006>
<http://purl.obolibrary.org/obo/OHPI_0000016>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OHPI_0000006>
<http://purl.obolibrary.org/obo/OHPI_0000062>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OHPI_0000006>
<http://purl.obolibrary.org/obo/OHPI_0000030>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OHPI_0000006>
<http://purl.obolibrary.org/obo/OHPI_0000043>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OHPI_0000006>
<http://purl.obolibrary.org/obo/OHPI_0000056>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OHPI_0000006>
<http://purl.obolibrary.org/obo/OHPI_0000024>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OHPI_0000006>
<http://purl.obolibrary.org/obo/OHPI_0000037>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OHPI_0000006>
<http://purl.obolibrary.org/obo/OHPI_0000051>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OHPI_0000006>
<http://purl.obolibrary.org/obo/OHPI_0000018>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OHPI_0000006>
<http://purl.obolibrary.org/obo/OHPI_0000064>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OHPI_0000006>
<http://purl.obolibrary.org/obo/OHPI_0000032>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OHPI_0000006>
<http://purl.obolibrary.org/obo/OHPI_0000045>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OHPI_0000006>
<http://purl.obolibrary.org/obo/OHPI_0000013>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OHPI_0000006>
<http://purl.obolibrary.org/obo/OHPI_0000058>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OHPI_0000006>
<http://purl.obolibrary.org/obo/OHPI_0000040>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OHPI_0000006>
<http://purl.obolibrary.org/obo/OHPI_0000039>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OHPI_0000006>
<http://purl.obolibrary.org/obo/OHPI_0000053>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OHPI_0000006>
<http://purl.obolibrary.org/obo/OHPI_0000021>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OHPI_0000006>
<http://purl.obolibrary.org/obo/OHPI_0000034>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OHPI_0000006>
<http://purl.obolibrary.org/obo/OHPI_0000006>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OHPI_0000001>
<http://purl.obolibrary.org/obo/OHPI_0000103>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OHPI_0000001>
<http://purl.obolibrary.org/obo/OHPI_0000010>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OHPI_0000001>
<http://purl.obolibrary.org/obo/OHPI_0000115>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OHPI_0000001>
<http://purl.obolibrary.org/obo/OHPI_0000109>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OHPI_0000001>
<http://purl.obolibrary.org/obo/OHPI_0000124>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OHPI_0000001>
<http://purl.obolibrary.org/obo/OHPI_0000118>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OHPI_0000001>
<http://purl.obolibrary.org/obo/OHPI_0000100>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OHPI_0000001>
<http://purl.obolibrary.org/obo/OHPI_0000012>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OHPI_0000001>
<http://purl.obolibrary.org/obo/OHPI_0000112>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OHPI_0000001>
<http://purl.obolibrary.org/obo/OHPI_0000106>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OHPI_0000001>
<http://purl.obolibrary.org/obo/OHPI_0000121>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OHPI_0000001>
<http://purl.obolibrary.org/obo/OHPI_0000011>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OHPI_0000001>
<http://purl.obolibrary.org/obo/OHPI_0000104>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OHPI_0000103>
<http://purl.obolibrary.org/obo/OHPI_0000079>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OHPI_0000010>
<http://purl.obolibrary.org/obo/OHPI_0000074>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OHPI_0000010>
<http://purl.obolibrary.org/obo/OHPI_0000087>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OHPI_0000010>
<http://purl.obolibrary.org/obo/OHPI_0000068>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OHPI_0000010>
<http://purl.obolibrary.org/obo/OHPI_0000082>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OHPI_0000010>
<http://purl.obolibrary.org/obo/OHPI_0000076>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OHPI_0000010>
<http://purl.obolibrary.org/obo/OHPI_0000071>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OHPI_0000010>
<http://purl.obolibrary.org/obo/OHPI_0000084>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OHPI_0000010>
<http://purl.obolibrary.org/obo/OHPI_0000078>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OHPI_0000010>
<http://purl.obolibrary.org/obo/OHPI_0000073>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OHPI_0000010>
<http://purl.obolibrary.org/obo/OHPI_0000086>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OHPI_0000010>
