ohpi_id	ohpi_label	victor_id	ogg_iri	victor_gene_name	victor_pathogen_name	victor_pathogen_taxon	victor_host_name	victor_host_taxon	victor_host_cell_ontology_iri	victor_host_cell_ontology_name	victor_host_cell_line_ontology_iri	victor_host_cell_line_ontology_name
OHPI_9000262	M. tuberculosis cobC mutant interaction with mouse	304	OGG_3000888337	cobC	M. tuberculosis	1773	mouse	10090				
OHPI_9000263	M. tuberculosis mce4A mutant interaction with mouse	305	OGG_3000888344	mce4A	M. tuberculosis	1773	mouse	10090				
OHPI_9000264	M. tuberculosis pks12 mutant interaction with mouse	306	OGG_3000888350	pks12	M. tuberculosis	1773	mouse	10090				
OHPI_9000265	M. tuberculosis mce4C mutant interaction with mouse	307	OGG_3000888354	mce4C	M. tuberculosis	1773	mouse	10090				
OHPI_9000266	M. tuberculosis Rv2275 mutant interaction with mouse	308	OGG_3000888355	Rv2275	M. tuberculosis	1773	mouse	10090				
OHPI_9000267	M. tuberculosis lprN mutant interaction with mouse	309	OGG_3000888364	lprN	M. tuberculosis	1773	mouse	10090				
OHPI_9000268	M. tuberculosis Rv3534c mutant interaction with mouse	310	OGG_3000888387	Rv3534c	M. tuberculosis	1773	mouse	10090				
OHPI_9000269	M. tuberculosis Rv3489 mutant interaction with mouse	311	OGG_3000888410	Rv3489	M. tuberculosis	1773	mouse	10090				
OHPI_9000270	M. tuberculosis ddl mutant interaction with mouse	312	OGG_3000888415	ddl	M. tuberculosis	1773	mouse	10090				
OHPI_9000271	M. tuberculosis lipF mutant interaction with mouse	313	OGG_3000888430	lipF	M. tuberculosis	1773	mouse	10090				
OHPI_9000272	M. tuberculosis cpsA mutant interaction with mouse	314	OGG_3000888445	cpsA	M. tuberculosis	1773	mouse	10090				
OHPI_9000273	M. tuberculosis ltp2 mutant interaction with mouse	315	OGG_3000888450	ltp2	M. tuberculosis	1773	mouse	10090				
OHPI_9000274	M. tuberculosis Rv3541c mutant interaction with mouse	316	OGG_3000888475	Rv3541c	M. tuberculosis	1773	mouse	10090				
OHPI_9000275	M. tuberculosis Rv2696c mutant interaction with mouse	317	OGG_3000888482	Rv2696c	M. tuberculosis	1773	mouse	10090				
OHPI_9000276	M. tuberculosis Rv3542c mutant interaction with mouse	318	OGG_3000888486	Rv3542c	M. tuberculosis	1773	mouse	10090				
OHPI_9000277	M. tuberculosis drrC mutant interaction with mouse	319	OGG_3000888491	drrC	M. tuberculosis	1773	mouse	10090				
OHPI_9000278	M. tuberculosis Rv2277c mutant interaction with mouse	320	OGG_3000888498	Rv2277c	M. tuberculosis	1773	mouse	10090				
OHPI_9000279	M. tuberculosis proS mutant interaction with mouse	321	OGG_3000888539	proS	M. tuberculosis	1773	mouse	10090				
OHPI_9000280	M. tuberculosis Rv2857c mutant interaction with mouse	322	OGG_3000888560	Rv2857c	M. tuberculosis	1773	mouse	10090				
OHPI_9000281	M. tuberculosis Rv2813 mutant interaction with mouse	323	OGG_3000888570	Rv2813	M. tuberculosis	1773	mouse	10090				
OHPI_9000053	M. tuberculosis sigL mutant interaction with mouse	324	OGG_3000888609	sigL	M. tuberculosis	1773	mouse	10090				
OHPI_9000282	M. tuberculosis Rv2998 mutant interaction with mouse	325	OGG_3000888646	Rv2998	M. tuberculosis	1773	mouse	10090				
OHPI_9000283	M. tuberculosis Rv3087 mutant interaction with mouse	326	OGG_3000888653	Rv3087	M. tuberculosis	1773	mouse	10090				
OHPI_9000284	M. tuberculosis Rv3258c mutant interaction with mouse	327	OGG_3000888694	Rv3258c	M. tuberculosis	1773	mouse	10090				
